Certification Number;Certification Date;Technology Partner;Server Name;Operating System;Database Release;CPU Architecture;CPU Speed;Processors;Cores;Threads;Memory;Cache;Pdf Link;Comments;Benchmark Users;Average Response Time;Average database dialog request time;Average database update request time;Dialog Steps Per Hour;Fully Processed Line Items Per Hour;saps;Ran concurrent with;Configuration;Environment;SAP Business Suite
2020015;2020-05-05;Dell;Dell EMC PowerEdge MX740c;Red Hat Enterprise Linux 8.1;SAP ASE 16;Intel Xeon Gold 6258R processor;2.7 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20015.pdf;;33000;0.99;0.055;0.056;10806000;3602000;180100;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020014;2020-05-05;Lenovo;Lenovo ThinkSystem SR665;Windows Server 2019 Datacenter;Db2 10.5;AMD EPYC 7H12 processor;2.6 GHz;2;128;256;1024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20014.pdf;;59160;0.99;0.014;0.026;19386000;6462000;323100;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020013;2020-04-27;Amazon Web Services;Amazon EC2 c5a.24xlarge;Windows Server 2016 Datacenter on KVM;SQL Server 2012;AMD EPYC 7R32 Processor;2.8 GHz;1;48;96;192;64 KB L1 and 512 KB L2 cache per core, 192 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert20013.pdf;One VM with 96 vCPU’s/ 192 GB RAM;23600;0.74;0.011;0.024;7910000;2636670;131830;;2-tier;Cloud, Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2020012;2020-03-24;Amazon Web Services;Amazon EC2 r5.metal;Windows Server 2016 Datacenter;SQL Server 2012;Intel Xeon Platinum 8259CL Processor;2.5 GHz;2;48;96;768;64 KB L1 cache and 1,024 KB L2 cache per core, 35.75 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20012.pdf;;26100;0.93;0.015;0.021;8594000;2864670;143230;;2-tier;Cloud, Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020011;2020-03-24;Amazon Web Services;Amazon EC2 r5.24xlarge;Windows Server 2016 Datacenter on KVM;SQL Server 2012;Intel Xeon Platinum 8259CL Processor;2.5 GHz;2;48;96;768;64 KB L1 cache and 1,024 KB L2 cache per core, 35.75 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20011.pdf;One VM with 96 vCPU’s/ 768 GB RAM;25300;0.94;0.017;0.023;8326000;2775330;138770;;2-tier;Cloud, Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2020007;2020-02-20;IBM;IBM BI.S4.H8.6000;SUSE Linux Enterprise Server 12;Db2 10.5;Intel Xeon Platinum 8280M Processor;2.7 GHz;8;224;448;6144;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20007.pdf;;100380;0.94;0.017;0.011;33040000;11013330;550670;;2-tier;Cloud, Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020005;2020-02-18;Cisco Systems;Cisco UCS C480 M5;Windows Server 2016;SQL Server 2012;Intel Xeon Platinum 8280L processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2020/Cert20005.pdf;;58100;0.93;0.022;0.024;19141000;6380330;319020;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020004;2020-02-18;Cisco Systems;Cisco HyperFlex HXAF240c-M5;Windows Server 2016 Datacenter on VMware vSphere 6.7 Update 2;SQL Server 2012;Intel Xeon Platinum 8276 Processor;2.2 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2020/Cert20004.pdf;One VM with 112 vCPU/ 512 GB RAM running on one HyperFlex/ vSphere host, Hyperflex 4 node cluster;24000;0.98;0.026;0.036;7870000;2623330;131170;;2-tier;Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2020003;2020-02-04;Dell;Dell EMC PowerEdge R7525;SUSE Linux Enterprise Server 15;SAP ASE 16;AMD EPYC 7H12 processor;2.60 GHz;2;128;256;1024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2020/Cert20003.pdf;;68896;0.97;0.021;0.015;22600000;7533330;376670;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2020002;2020-01-30;Hitachi;Hitachi Advanced Server DS120;Windows Server 2016;SQL Server 2012;Intel Xeon Platinum 8276 Processor;2.2 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2020/Cert20002.pdf;;25500;0.94;0.012;0.027;8391000;2797330;139870;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019067;2019-12-17;Dell;Dell PowerEdge R940xa;Windows Server 2016 Datacenter Edition;Microsoft SQL Server 2012;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19067.pdf;;58833;0.98;0.010;0.009;19284000;6428000;321400;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
